,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,205.0107120620014
best_classifier_inference_time,20.551641744001245
best_classifier_recall,0.10101010101010101
best_classifier_precision,0.002158428663932657
best_classifier_f1,0.00422654268808115
best_classifier_TN,465869
best_classifier_FP,4623
best_classifier_FN,89
best_classifier_TP,10
best_classifier_auc,0.9546161628184276
best_classifier_p_auc_10,0.7770576339639766
best_classifier_p_auc_20,0.8739337856067436
best_classifier_p_auc_30,0.9110120839577014
training_time_avg,79.68550875620022
inference_time_avg,17.334944984600224
auc_avg,0.9543288856359003
auc_std,0.00014366237185693895
p_auc_10_avg,0.776912548472622
p_auc_10_std,7.402980850192797e-05
p_auc_20_avg,0.8731357934330568
p_auc_20_std,0.00039906214404710914
p_auc_30_avg,0.9104487953645105
p_auc_30_std,0.00028169092520976126
recall_avg,0.10101010101010102
recall_std,1.3877787807814457e-17
