,"{'hidden_activation': 'relu', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,3339.6514279380717
best_classifier_inference_time,102.86578568301047
best_classifier_recall,0.09090909090909091
best_classifier_precision,0.0021087160262417996
best_classifier_f1,0.00412182276162125
best_classifier_TN,846143
best_classifier_FP,8518
best_classifier_FN,180
best_classifier_TP,18
best_classifier_auc,0.7965561784145995
best_classifier_p_auc_10,0.7057956561318283
best_classifier_p_auc_20,0.758218033156381
best_classifier_p_auc_30,0.7758328330921371
training_time_avg,3339.6514279380717
inference_time_avg,102.86578568301047
auc_avg,0.7965561784145995
auc_std,0.0
p_auc_10_avg,0.7057956561318283
p_auc_10_std,0.0
p_auc_20_avg,0.758218033156381
p_auc_20_std,0.0
p_auc_30_avg,0.7758328330921371
p_auc_30_std,0.0
recall_avg,0.09090909090909091
recall_std,0.0
