,"{'hidden_activation': 'tanh', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,82.36198460600099
best_classifier_inference_time,24.048275104998538
best_classifier_recall,0.25252525252525254
best_classifier_precision,0.0053123671908202295
best_classifier_f1,0.01040582726326743
best_classifier_TN,465811
best_classifier_FP,4681
best_classifier_FN,74
best_classifier_TP,25
best_classifier_auc,0.8604418460898486
best_classifier_p_auc_10,0.7392144451381881
best_classifier_p_auc_20,0.7542927947536315
best_classifier_p_auc_30,0.7613315972192938
training_time_avg,85.22869234660102
inference_time_avg,28.10830834639928
auc_avg,0.8646662913020258
auc_std,0.014129231396519582
p_auc_10_avg,0.7368880829005662
p_auc_10_std,0.002539287302579259
p_auc_20_avg,0.7527026547551872
p_auc_20_std,0.0014741279905120723
p_auc_30_avg,0.7636253189585862
p_auc_30_std,0.005731422477489952
recall_avg,0.2565656565656566
recall_std,0.008080808080808065
