,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,62.42268500600039
best_classifier_inference_time,4.303513292999924
best_classifier_recall,0.031578947368421054
best_classifier_precision,0.007679180887372013
best_classifier_f1,0.012354152367879203
best_classifier_TN,131052
best_classifier_FP,1163
best_classifier_FN,276
best_classifier_TP,9
best_classifier_auc,0.7043593137440279
best_classifier_p_auc_10,0.5062261012346685
best_classifier_p_auc_20,0.6649060294388777
best_classifier_p_auc_30,0.7159914593768755
training_time_avg,25.286341759199786
inference_time_avg,4.760550973000136
auc_avg,0.7043492822363362
auc_std,5.0157538458162065e-06
p_auc_10_avg,0.5062218259964453
p_auc_10_std,2.137619111586275e-06
p_auc_20_avg,0.6648781641397338
p_auc_20_std,1.393264957196827e-05
p_auc_30_avg,0.7159717897539501
p_auc_30_std,9.834811462594574e-06
recall_avg,0.031578947368421054
recall_std,0.0
