,"{'max_samples': 512, 'n_estimators': 10}"
best_classifier_training_time,0.21686213500015583
best_classifier_inference_time,0.057592856000155734
best_classifier_recall,0.027932960893854747
best_classifier_precision,0.02857142857142857
best_classifier_f1,0.02824858757062147
best_classifier_TN,18731
best_classifier_FP,170
best_classifier_FN,174
best_classifier_TP,5
best_classifier_auc,0.7298978298863321
best_classifier_p_auc_10,0.5941112935580822
best_classifier_p_auc_20,0.6115989350370848
best_classifier_p_auc_30,0.6368942732761823
training_time_avg,0.21845573320006223
inference_time_avg,0.05373484439987806
auc_avg,0.7129778241758956
auc_std,0.03207083505950904
p_auc_10_avg,0.5796953799149163
p_auc_10_std,0.009618293123364067
p_auc_20_avg,0.6159329708351422
p_auc_20_std,0.012047253285685738
p_auc_30_avg,0.6366638761114245
p_auc_30_std,0.020794486740537455
recall_avg,0.033519553072625705
recall_std,0.019027247336230613
