,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,411.695083833
best_classifier_inference_time,98.1965195109999
best_classifier_recall,0.1537777777777778
best_classifier_precision,0.005593998577248916
best_classifier_f1,0.010795294998595988
best_classifier_TN,3146267
best_classifier_FP,30753
best_classifier_FN,952
best_classifier_TP,173
best_classifier_auc,0.9731757434465144
best_classifier_p_auc_10,0.8588197023500745
best_classifier_p_auc_20,0.9254881762403172
best_classifier_p_auc_30,0.9474034185225768
training_time_avg,333.7006078040001
inference_time_avg,115.66673550379991
auc_avg,0.9731630844278252
auc_std,6.32951338511669e-06
p_auc_10_avg,0.8587530759359217
p_auc_10_std,3.331322834218184e-05
p_auc_20_avg,0.9254530122995142
p_auc_20_std,1.7581981625063877e-05
p_auc_30_avg,0.947378596917304
p_auc_30_std,1.2410810558904503e-05
recall_avg,0.1537777777777778
recall_std,0.0
