,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,1246.835301522996
best_classifier_inference_time,20.055531437996592
best_classifier_recall,0.028070175438596492
best_classifier_precision,0.0060377358490566035
best_classifier_f1,0.009937888198757763
best_classifier_TN,130898
best_classifier_FP,1317
best_classifier_FN,277
best_classifier_TP,8
best_classifier_auc,0.9125077110580786
best_classifier_p_auc_10,0.649468713851278
best_classifier_p_auc_20,0.7932403281057885
best_classifier_p_auc_30,0.8449942130070038
training_time_avg,1246.835301522996
inference_time_avg,20.055531437996592
auc_avg,0.9125077110580786
auc_std,0.0
p_auc_10_avg,0.649468713851278
p_auc_10_std,0.0
p_auc_20_avg,0.7932403281057885
p_auc_20_std,0.0
p_auc_30_avg,0.8449942130070038
p_auc_30_std,0.0
recall_avg,0.028070175438596492
recall_std,0.0
