,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,107.45082291299968
best_classifier_inference_time,2.8470305259997986
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,18735
best_classifier_FP,166
best_classifier_FN,179
best_classifier_TP,0
best_classifier_auc,0.6398461374305814
best_classifier_p_auc_10,0.49220634902960975
best_classifier_p_auc_20,0.521190842026076
best_classifier_p_auc_30,0.5478091972140566
training_time_avg,107.01537114659918
inference_time_avg,2.159237038599213
auc_avg,0.6410825710797129
auc_std,0.0018140924181424048
p_auc_10_avg,0.49210097346466564
p_auc_10_std,6.821237081812381e-05
p_auc_20_avg,0.5221965697604609
p_auc_20_std,0.002594290081408608
p_auc_30_avg,0.5489105420522284
p_auc_30_std,0.002722398147756824
recall_avg,0.0
recall_std,0.0
