,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1], 'use_ae': True}"
best_classifier_training_time,105.95591435600272
best_classifier_inference_time,2.6813462620011705
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,18711
best_classifier_FP,190
best_classifier_FN,179
best_classifier_TP,0
best_classifier_auc,0.6769326443370469
best_classifier_p_auc_10,0.5658450371899413
best_classifier_p_auc_20,0.5840938135262664
best_classifier_p_auc_30,0.5948395091294105
training_time_avg,107.07963815600215
inference_time_avg,2.408912798800884
auc_avg,0.6389830693832816
auc_std,0.02319990968099708
p_auc_10_avg,0.5259902099646371
p_auc_10_std,0.028303450404956364
p_auc_20_avg,0.5357827421267948
p_auc_20_std,0.029545449216421816
p_auc_30_avg,0.5453182618192031
p_auc_30_std,0.027321070216318237
recall_avg,0.00782122905027933
recall_std,0.005697228506807581
