,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,4035.372071286838
best_classifier_inference_time,94.4488028060805
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,846204
best_classifier_FP,8457
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.4228206424901957
best_classifier_p_auc_10,0.47587683473815995
best_classifier_p_auc_20,0.4501184129357366
best_classifier_p_auc_30,0.4379698308576336
training_time_avg,4035.372071286838
inference_time_avg,94.4488028060805
auc_avg,0.4228206424901957
auc_std,0.0
p_auc_10_avg,0.47587683473815995
p_auc_10_std,0.0
p_auc_20_avg,0.4501184129357366
p_auc_20_std,0.0
p_auc_30_avg,0.4379698308576336
p_auc_30_std,0.0
recall_avg,0.0
recall_std,0.0
