,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,151.31248572800177
best_classifier_inference_time,20.55617515099948
best_classifier_recall,0.10101010101010101
best_classifier_precision,0.002133560913164071
best_classifier_f1,0.0041788549937317185
best_classifier_TN,465815
best_classifier_FP,4677
best_classifier_FN,89
best_classifier_TP,10
best_classifier_auc,0.9589974350512256
best_classifier_p_auc_10,0.7841970265853977
best_classifier_p_auc_20,0.8861039862534043
best_classifier_p_auc_30,0.9196028138259325
training_time_avg,76.91965807640008
inference_time_avg,17.94710730700026
auc_avg,0.9535105031251618
auc_std,0.002743478330665408
p_auc_10_avg,0.7744401854847046
p_auc_10_std,0.0048784219707065654
p_auc_20_avg,0.870862508681005
p_auc_20_std,0.007620773140737174
p_auc_30_avg,0.908844123774827
p_auc_30_std,0.005379369275814499
recall_avg,0.09292929292929294
recall_std,0.004040404040404039
