,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,4398.944108311993
best_classifier_inference_time,80.68407235903294
best_classifier_recall,0.030303030303030304
best_classifier_precision,0.0006376195536663124
best_classifier_f1,0.0012489592006661116
best_classifier_TN,465790
best_classifier_FP,4702
best_classifier_FN,96
best_classifier_TP,3
best_classifier_auc,0.8248645282303666
best_classifier_p_auc_10,0.7500383425699232
best_classifier_p_auc_20,0.7778876121777454
best_classifier_p_auc_30,0.7824304481040785
training_time_avg,4398.944108311993
inference_time_avg,80.68407235903294
auc_avg,0.8248645282303666
auc_std,0.0
p_auc_10_avg,0.7500383425699232
p_auc_10_std,0.0
p_auc_20_avg,0.7778876121777454
p_auc_20_std,0.0
p_auc_30_avg,0.7824304481040785
p_auc_30_std,0.0
recall_avg,0.030303030303030304
recall_std,0.0
