,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,1228.3223238169812
best_classifier_inference_time,24.468610452990106
best_classifier_recall,0.029350104821802937
best_classifier_precision,0.005285013212533031
best_classifier_f1,0.008957133717210491
best_classifier_TN,261888
best_classifier_FP,2635
best_classifier_FN,463
best_classifier_TP,14
best_classifier_auc,0.9123190343543975
best_classifier_p_auc_10,0.6788834288642126
best_classifier_p_auc_20,0.8058009632057586
best_classifier_p_auc_30,0.8530915051155115
training_time_avg,1228.3223238169812
inference_time_avg,24.468610452990106
auc_avg,0.9123190343543975
auc_std,0.0
p_auc_10_avg,0.6788834288642126
p_auc_10_std,0.0
p_auc_20_avg,0.8058009632057586
p_auc_20_std,0.0
p_auc_30_avg,0.8530915051155115
p_auc_30_std,0.0
recall_avg,0.029350104821802937
recall_std,0.0
